value,   feasible,   frequency, time, iteration
1228,False,1,239218.09728121758,500
2160,False,1,239218.09728121758,500
2108,False,1,239218.09728121758,500
1608,False,1,239218.09728121758,500
1692,False,1,239218.09728121758,500
1752,False,1,239218.09728121758,500
2284,False,1,239218.09728121758,500
828,False,1,239218.09728121758,500
2652,False,1,239218.09728121758,500
1532,False,1,239218.09728121758,500
1940,False,1,239218.09728121758,500
4016,False,1,239218.09728121758,500
2740,False,1,239218.09728121758,500
2276,False,1,239218.09728121758,500
2708,False,1,239218.09728121758,500
1660,False,1,239218.09728121758,500
472,False,1,239218.09728121758,500
4360,False,1,239218.09728121758,500
3124,False,1,239218.09728121758,500
2040,False,1,239218.09728121758,500
1716,False,1,239218.09728121758,500
3660,False,1,239218.09728121758,500
2660,False,1,239218.09728121758,500
1732,False,1,239218.09728121758,500
3512,False,1,239218.09728121758,500
4092,False,1,239218.09728121758,500
864,False,1,239218.09728121758,500
2192,False,1,239218.09728121758,500
4476,False,1,239218.09728121758,500
2256,False,1,239218.09728121758,500
4068,False,1,239218.09728121758,500
2540,False,1,239218.09728121758,500
2124,False,1,239218.09728121758,500
1392,False,1,239218.09728121758,500
1008,False,1,239218.09728121758,500
2084,False,1,239218.09728121758,500
2804,False,1,239218.09728121758,500
2116,False,1,239218.09728121758,500
3052,False,1,239218.09728121758,500
2816,False,1,239218.09728121758,500
1624,False,1,239218.09728121758,500
1632,False,1,239218.09728121758,500
3472,False,1,239218.09728121758,500
1960,False,1,239218.09728121758,500
1720,False,1,239218.09728121758,500
3304,False,1,239218.09728121758,500
2732,False,1,239218.09728121758,500
1960,False,1,239218.09728121758,500
2872,False,1,239218.09728121758,500
3672,False,1,239218.09728121758,500
2528,False,1,239218.09728121758,500
3784,False,1,239218.09728121758,500
3364,False,1,239218.09728121758,500
1676,False,1,239218.09728121758,500
2712,False,1,239218.09728121758,500
3024,False,1,239218.09728121758,500
3564,False,1,239218.09728121758,500
3440,False,1,239218.09728121758,500
1552,False,1,239218.09728121758,500
5320,False,1,239218.09728121758,500
5172,False,1,239218.09728121758,500
3580,False,1,239218.09728121758,500
1116,False,1,239218.09728121758,500
2876,False,1,239218.09728121758,500
644,False,1,239218.09728121758,500
2492,False,1,239218.09728121758,500
1216,False,1,239218.09728121758,500
2836,False,1,239218.09728121758,500
1652,False,1,239218.09728121758,500
3192,False,1,239218.09728121758,500
3128,False,1,239218.09728121758,500
1668,False,1,239218.09728121758,500
1276,False,1,239218.09728121758,500
644,False,1,239218.09728121758,500
2296,False,1,239218.09728121758,500
2608,False,1,239218.09728121758,500
1564,False,1,239218.09728121758,500
1832,False,1,239218.09728121758,500
1288,False,1,239218.09728121758,500
4864,False,1,239218.09728121758,500
2860,False,1,239218.09728121758,500
2472,False,1,239218.09728121758,500
2912,False,1,239218.09728121758,500
1896,False,1,239218.09728121758,500
2060,False,1,239218.09728121758,500
2332,False,1,239218.09728121758,500
3904,False,1,239218.09728121758,500
356,False,1,239218.09728121758,500
2352,False,1,239218.09728121758,500
2128,False,1,239218.09728121758,500
2240,False,1,239218.09728121758,500
3600,False,1,239218.09728121758,500
1768,False,1,239218.09728121758,500
4588,False,1,239218.09728121758,500
4644,False,1,239218.09728121758,500
2340,False,1,239218.09728121758,500
1056,False,1,239218.09728121758,500
3244,False,1,239218.09728121758,500
3112,False,1,239218.09728121758,500
3392,False,1,239218.09728121758,500
3768,False,1,239218.09728121758,500
1200,False,1,239218.09728121758,500
2128,False,1,239218.09728121758,500
4520,False,1,239218.09728121758,500
816,False,1,239218.09728121758,500
1308,False,1,239218.09728121758,500
1924,False,1,239218.09728121758,500
2076,False,1,239218.09728121758,500
4420,False,1,239218.09728121758,500
2568,False,1,239218.09728121758,500
1200,False,1,239218.09728121758,500
3544,False,1,239218.09728121758,500
3624,False,1,239218.09728121758,500
2932,False,1,239218.09728121758,500
3728,False,1,239218.09728121758,500
4268,False,1,239218.09728121758,500
2300,False,1,239218.09728121758,500
4072,False,1,239218.09728121758,500
4552,False,1,239218.09728121758,500
3252,False,1,239218.09728121758,500
2476,False,1,239218.09728121758,500
1664,False,1,239218.09728121758,500
1724,False,1,239218.09728121758,500
3576,False,1,239218.09728121758,500
3820,False,1,239218.09728121758,500
600,False,1,239218.09728121758,500
3268,False,1,239218.09728121758,500
2728,False,1,239218.09728121758,500
3032,False,1,239218.09728121758,500
2692,False,1,239218.09728121758,500
696,False,1,239218.09728121758,500
2240,False,1,239218.09728121758,500
3432,False,1,239218.09728121758,500
1972,False,1,239218.09728121758,500
3756,False,1,239218.09728121758,500
2068,False,1,239218.09728121758,500
1676,False,1,239218.09728121758,500
1576,False,1,239218.09728121758,500
4332,False,1,239218.09728121758,500
4104,False,1,239218.09728121758,500
4696,False,1,239218.09728121758,500
5000,False,1,239218.09728121758,500
1292,False,1,239218.09728121758,500
3736,False,1,239218.09728121758,500
3152,False,1,239218.09728121758,500
1816,False,1,239218.09728121758,500
4012,False,1,239218.09728121758,500
1868,False,1,239218.09728121758,500
2448,False,1,239218.09728121758,500
6208,False,1,239218.09728121758,500
876,False,1,239218.09728121758,500
1360,False,1,239218.09728121758,500
1748,False,1,239218.09728121758,500
1492,False,1,239218.09728121758,500
1472,False,1,239218.09728121758,500
3032,False,1,239218.09728121758,500
4236,False,1,239218.09728121758,500
1880,False,1,239218.09728121758,500
700,False,1,239218.09728121758,500
2128,False,1,239218.09728121758,500
3392,False,1,239218.09728121758,500
2692,False,1,239218.09728121758,500
2688,False,1,239218.09728121758,500
3072,False,1,239218.09728121758,500
3280,False,1,239218.09728121758,500
2380,False,1,239218.09728121758,500
1988,False,1,239218.09728121758,500
1432,False,1,239218.09728121758,500
2780,False,1,239218.09728121758,500
1704,False,1,239218.09728121758,500
2428,False,1,239218.09728121758,500
3860,False,1,239218.09728121758,500
5268,False,1,239218.09728121758,500
4884,False,1,239218.09728121758,500
2292,False,1,239218.09728121758,500
5068,False,1,239218.09728121758,500
1300,False,1,239218.09728121758,500
1176,False,1,239218.09728121758,500
4060,False,1,239218.09728121758,500
2180,False,1,239218.09728121758,500
3572,False,1,239218.09728121758,500
3192,False,1,239218.09728121758,500
2740,False,1,239218.09728121758,500
4656,False,1,239218.09728121758,500
4740,False,1,239218.09728121758,500
4932,False,1,239218.09728121758,500
3016,False,1,239218.09728121758,500
6060,False,1,239218.09728121758,500
3472,False,1,239218.09728121758,500
4052,False,1,239218.09728121758,500
3008,False,1,239218.09728121758,500
3896,False,1,239218.09728121758,500
2784,False,1,239218.09728121758,500
1616,False,1,239218.09728121758,500
3844,False,1,239218.09728121758,500
4004,False,1,239218.09728121758,500
3808,False,1,239218.09728121758,500
4412,False,1,239218.09728121758,500
1212,False,1,239218.09728121758,500
1976,False,1,239218.09728121758,500
1832,False,1,239218.09728121758,500
5056,False,1,239218.09728121758,500
4936,False,1,239218.09728121758,500
2580,False,1,239218.09728121758,500
1576,False,1,239218.09728121758,500
5264,False,1,239218.09728121758,500
2516,False,1,239218.09728121758,500
2448,False,1,239218.09728121758,500
6472,False,1,239218.09728121758,500
4820,False,1,239218.09728121758,500
3340,False,1,239218.09728121758,500
1500,False,1,239218.09728121758,500
2984,False,1,239218.09728121758,500
4248,False,1,239218.09728121758,500
4024,False,1,239218.09728121758,500
4396,False,1,239218.09728121758,500
2612,False,1,239218.09728121758,500
5484,False,1,239218.09728121758,500
3692,False,1,239218.09728121758,500
4456,False,1,239218.09728121758,500
3092,False,1,239218.09728121758,500
2836,False,1,239218.09728121758,500
1720,False,1,239218.09728121758,500
1840,False,1,239218.09728121758,500
2648,False,1,239218.09728121758,500
2544,False,1,239218.09728121758,500
232,False,1,239218.09728121758,500
2864,False,1,239218.09728121758,500
2712,False,1,239218.09728121758,500
3540,False,1,239218.09728121758,500
3088,False,1,239218.09728121758,500
2728,False,1,239218.09728121758,500
4880,False,1,239218.09728121758,500
3192,False,1,239218.09728121758,500
2036,False,1,239218.09728121758,500
2028,False,1,239218.09728121758,500
756,False,1,239218.09728121758,500
1844,False,1,239218.09728121758,500
3052,False,1,239218.09728121758,500
3292,False,1,239218.09728121758,500
3140,False,1,239218.09728121758,500
4724,False,1,239218.09728121758,500
3912,False,1,239218.09728121758,500
5604,False,1,239218.09728121758,500
5240,False,1,239218.09728121758,500
2972,False,1,239218.09728121758,500
1348,False,1,239218.09728121758,500
4712,False,1,239218.09728121758,500
1940,False,1,239218.09728121758,500
4524,False,1,239218.09728121758,500
6420,False,1,239218.09728121758,500
3596,False,1,239218.09728121758,500
4104,False,1,239218.09728121758,500
4556,False,1,239218.09728121758,500
3260,False,1,239218.09728121758,500
4436,False,1,239218.09728121758,500
4668,False,1,239218.09728121758,500
4032,False,1,239218.09728121758,500
1120,False,1,239218.09728121758,500
3196,False,1,239218.09728121758,500
2228,False,1,239218.09728121758,500
4352,False,1,239218.09728121758,500
2436,False,1,239218.09728121758,500
7124,False,1,239218.09728121758,500
3868,False,1,239218.09728121758,500
3760,False,1,239218.09728121758,500
4616,False,1,239218.09728121758,500
3092,False,1,239218.09728121758,500
3292,False,1,239218.09728121758,500
2820,False,1,239218.09728121758,500
3892,False,1,239218.09728121758,500
3392,False,1,239218.09728121758,500
4180,False,1,239218.09728121758,500
2904,False,1,239218.09728121758,500
2568,False,1,239218.09728121758,500
4532,False,1,239218.09728121758,500
6992,False,1,239218.09728121758,500
2724,False,1,239218.09728121758,500
1536,False,1,239218.09728121758,500
3616,False,1,239218.09728121758,500
3004,False,1,239218.09728121758,500
4472,False,1,239218.09728121758,500
3896,False,1,239218.09728121758,500
3428,False,1,239218.09728121758,500
2452,False,1,239218.09728121758,500
1664,False,1,239218.09728121758,500
1944,False,1,239218.09728121758,500
4416,False,1,239218.09728121758,500
2136,False,1,239218.09728121758,500
3124,False,1,239218.09728121758,500
2924,False,1,239218.09728121758,500
3236,False,1,239218.09728121758,500
3716,False,1,239218.09728121758,500
4128,False,1,239218.09728121758,500
3480,False,1,239218.09728121758,500
3976,False,1,239218.09728121758,500
2744,False,1,239218.09728121758,500
1732,False,1,239218.09728121758,500
2184,False,1,239218.09728121758,500
2668,False,1,239218.09728121758,500
2856,False,1,239218.09728121758,500
3484,False,1,239218.09728121758,500
3088,False,1,239218.09728121758,500
5268,False,1,239218.09728121758,500
2768,False,1,239218.09728121758,500
2396,False,1,239218.09728121758,500
3936,False,1,239218.09728121758,500
4560,False,1,239218.09728121758,500
3108,False,1,239218.09728121758,500
2916,False,1,239218.09728121758,500
1856,False,1,239218.09728121758,500
1400,False,1,239218.09728121758,500
2876,False,1,239218.09728121758,500
2560,False,1,239218.09728121758,500
4520,False,1,239218.09728121758,500
3552,False,1,239218.09728121758,500
2880,False,1,239218.09728121758,500
2232,False,1,239218.09728121758,500
3404,False,1,239218.09728121758,500
4936,False,1,239218.09728121758,500
3424,False,1,239218.09728121758,500
4984,False,1,239218.09728121758,500
3148,False,1,239218.09728121758,500
2508,False,1,239218.09728121758,500
3276,False,1,239218.09728121758,500
2532,False,1,239218.09728121758,500
3576,False,1,239218.09728121758,500
3856,False,1,239218.09728121758,500
4552,False,1,239218.09728121758,500
4856,False,1,239218.09728121758,500
2500,False,1,239218.09728121758,500
2316,False,1,239218.09728121758,500
3708,False,1,239218.09728121758,500
4400,False,1,239218.09728121758,500
2084,False,1,239218.09728121758,500
3596,False,1,239218.09728121758,500
4604,False,1,239218.09728121758,500
2616,False,1,239218.09728121758,500
3076,False,1,239218.09728121758,500
4808,False,1,239218.09728121758,500
4224,False,1,239218.09728121758,500
4436,False,1,239218.09728121758,500
5224,False,1,239218.09728121758,500
6300,False,1,239218.09728121758,500
4100,False,1,239218.09728121758,500
2636,False,1,239218.09728121758,500
2492,False,1,239218.09728121758,500
3840,False,1,239218.09728121758,500
4052,False,1,239218.09728121758,500
3608,False,1,239218.09728121758,500
2424,False,1,239218.09728121758,500
6684,False,1,239218.09728121758,500
3504,False,1,239218.09728121758,500
