value,   feasible,   frequency, time, iteration
0,False,1,279679.7799875736,0
660,False,1,279679.7799875736,0
744,False,1,279679.7799875736,0
788,False,1,279679.7799875736,0
980,False,1,279679.7799875736,0
234,False,1,279679.7799875736,0
848,False,1,279679.7799875736,0
2428,False,2,279679.7799875736,0
216,False,1,279679.7799875736,0
1500,False,1,279679.7799875736,0
920,False,1,279679.7799875736,0
2652,False,1,279679.7799875736,0
0,False,1,279679.7799875736,0
742,False,1,279679.7799875736,0
1764,False,1,279679.7799875736,0
770,False,1,279679.7799875736,0
650,False,1,279679.7799875736,0
620,False,1,279679.7799875736,0
692,False,1,279679.7799875736,0
918,False,1,279679.7799875736,0
1170,False,1,279679.7799875736,0
0,False,1,279679.7799875736,0
2278,False,1,279679.7799875736,0
0,False,1,279679.7799875736,0
868,False,1,279679.7799875736,0
1306,False,1,279679.7799875736,0
1732,False,1,279679.7799875736,0
330,False,1,279679.7799875736,0
2134,False,1,279679.7799875736,0
2740,False,1,279679.7799875736,0
1916,False,1,279679.7799875736,0
1788,False,1,279679.7799875736,0
1474,False,1,279679.7799875736,0
1686,False,1,279679.7799875736,0
1948,False,1,279679.7799875736,0
2128,False,1,279679.7799875736,0
1414,False,1,279679.7799875736,0
3554,False,1,279679.7799875736,0
1360,False,1,279679.7799875736,0
1084,False,1,279679.7799875736,0
330,False,1,279679.7799875736,0
892,False,1,279679.7799875736,0
1388,False,1,279679.7799875736,0
2048,False,1,279679.7799875736,0
1210,False,1,279679.7799875736,0
1178,False,1,279679.7799875736,0
2500,False,1,279679.7799875736,0
2906,False,1,279679.7799875736,0
1278,False,1,279679.7799875736,0
1602,False,1,279679.7799875736,0
2334,False,1,279679.7799875736,0
3772,False,1,279679.7799875736,0
1774,False,1,279679.7799875736,0
744,False,1,279679.7799875736,0
1176,False,1,279679.7799875736,0
1052,True,1,279679.7799875736,0
1112,False,1,279679.7799875736,0
3556,False,1,279679.7799875736,0
3508,False,1,279679.7799875736,0
2716,False,1,279679.7799875736,0
4868,False,1,279679.7799875736,0
2712,False,1,279679.7799875736,0
496,False,1,279679.7799875736,0
868,False,1,279679.7799875736,0
734,False,1,279679.7799875736,0
870,False,1,279679.7799875736,0
372,False,1,279679.7799875736,0
4836,False,1,279679.7799875736,0
936,False,1,279679.7799875736,0
702,False,1,279679.7799875736,0
1392,False,1,279679.7799875736,0
1846,False,1,279679.7799875736,0
3796,False,1,279679.7799875736,0
2652,False,1,279679.7799875736,0
4310,False,1,279679.7799875736,0
2250,False,1,279679.7799875736,0
2312,False,1,279679.7799875736,0
2072,False,1,279679.7799875736,0
1866,False,1,279679.7799875736,0
936,False,1,279679.7799875736,0
1770,False,1,279679.7799875736,0
424,False,3,279679.7799875736,0
534,False,1,279679.7799875736,0
300,False,1,279679.7799875736,0
1258,False,1,279679.7799875736,0
2662,False,1,279679.7799875736,0
530,False,1,279679.7799875736,0
1064,False,1,279679.7799875736,0
974,False,1,279679.7799875736,0
1770,False,1,279679.7799875736,0
2194,False,1,279679.7799875736,0
530,False,1,279679.7799875736,0
954,False,1,279679.7799875736,0
1326,False,1,279679.7799875736,0
1784,False,1,279679.7799875736,0
648,False,1,279679.7799875736,0
1928,False,1,279679.7799875736,0
1142,False,1,279679.7799875736,0
2090,False,1,279679.7799875736,0
3116,False,1,279679.7799875736,0
1520,False,1,279679.7799875736,0
690,False,1,279679.7799875736,0
706,False,1,279679.7799875736,0
1732,False,1,279679.7799875736,0
1360,False,1,279679.7799875736,0
854,False,1,279679.7799875736,0
3500,False,1,279679.7799875736,0
2170,False,1,279679.7799875736,0
1360,False,1,279679.7799875736,0
2344,False,1,279679.7799875736,0
3824,False,1,279679.7799875736,0
3100,False,1,279679.7799875736,0
4900,False,1,279679.7799875736,0
220,False,1,279679.7799875736,0
160,False,1,279679.7799875736,0
380,False,1,279679.7799875736,0
1952,False,1,279679.7799875736,0
660,False,2,279679.7799875736,0
320,False,1,279679.7799875736,0
190,False,1,279679.7799875736,0
2392,False,1,279679.7799875736,0
4128,False,1,279679.7799875736,0
0,False,2,279679.7799875736,0
212,False,1,279679.7799875736,0
1280,False,1,279679.7799875736,0
864,False,1,279679.7799875736,0
1084,False,1,279679.7799875736,0
1948,False,1,279679.7799875736,0
186,False,1,279679.7799875736,0
388,False,1,279679.7799875736,0
2980,False,1,279679.7799875736,0
724,False,1,279679.7799875736,0
1842,False,1,279679.7799875736,0
1430,False,1,279679.7799875736,0
3008,False,1,279679.7799875736,0
864,False,1,279679.7799875736,0
2260,False,1,279679.7799875736,0
2672,False,1,279679.7799875736,0
330,False,1,279679.7799875736,0
2690,False,1,279679.7799875736,0
2818,False,1,279679.7799875736,0
330,False,1,279679.7799875736,0
4546,False,1,279679.7799875736,0
240,False,1,279679.7799875736,0
888,False,1,279679.7799875736,0
550,False,1,279679.7799875736,0
400,False,1,279679.7799875736,0
1066,False,1,279679.7799875736,0
1160,False,1,279679.7799875736,0
2354,False,1,279679.7799875736,0
3224,False,1,279679.7799875736,0
4456,False,1,279679.7799875736,0
416,False,1,279679.7799875736,0
3170,False,1,279679.7799875736,0
1654,False,1,279679.7799875736,0
440,False,2,279679.7799875736,0
694,False,1,279679.7799875736,0
440,False,1,279679.7799875736,0
2214,False,1,279679.7799875736,0
1596,False,1,279679.7799875736,0
2468,False,1,279679.7799875736,0
1510,False,1,279679.7799875736,0
3188,False,1,279679.7799875736,0
864,False,1,279679.7799875736,0
1524,False,1,279679.7799875736,0
1602,False,1,279679.7799875736,0
930,False,1,279679.7799875736,0
1354,False,1,279679.7799875736,0
2874,False,1,279679.7799875736,0
2840,False,1,279679.7799875736,0
760,False,1,279679.7799875736,0
1104,False,2,279679.7799875736,0
720,False,1,279679.7799875736,0
800,False,1,279679.7799875736,0
1584,False,1,279679.7799875736,0
1000,False,1,279679.7799875736,0
240,False,2,279679.7799875736,0
760,False,1,279679.7799875736,0
2128,False,1,279679.7799875736,0
1480,False,1,279679.7799875736,0
1920,False,1,279679.7799875736,0
3256,False,1,279679.7799875736,0
1184,False,1,279679.7799875736,0
240,False,1,279679.7799875736,0
1840,False,1,279679.7799875736,0
2784,False,1,279679.7799875736,0
570,False,1,279679.7799875736,0
1276,False,1,279679.7799875736,0
1980,False,1,279679.7799875736,0
1338,False,1,279679.7799875736,0
2580,False,1,279679.7799875736,0
1184,False,1,279679.7799875736,0
3232,False,1,279679.7799875736,0
976,False,1,279679.7799875736,0
2506,False,1,279679.7799875736,0
656,False,1,279679.7799875736,0
2576,False,1,279679.7799875736,0
3840,False,1,279679.7799875736,0
2472,False,1,279679.7799875736,0
1682,False,1,279679.7799875736,0
2514,False,1,279679.7799875736,0
3040,False,1,279679.7799875736,0
896,False,1,279679.7799875736,0
1444,False,1,279679.7799875736,0
3038,False,1,279679.7799875736,0
570,False,1,279679.7799875736,0
1184,False,1,279679.7799875736,0
2076,False,1,279679.7799875736,0
2936,False,1,279679.7799875736,0
570,False,1,279679.7799875736,0
0,False,1,279679.7799875736,0
2398,False,1,279679.7799875736,0
1598,False,1,279679.7799875736,0
848,False,1,279679.7799875736,0
1484,False,1,279679.7799875736,0
648,False,1,279679.7799875736,0
2070,False,1,279679.7799875736,0
2110,False,1,279679.7799875736,0
2662,False,1,279679.7799875736,0
3158,False,1,279679.7799875736,0
2146,False,1,279679.7799875736,0
1964,False,1,279679.7799875736,0
1550,False,1,279679.7799875736,0
954,False,1,279679.7799875736,0
1674,False,1,279679.7799875736,0
3404,False,1,279679.7799875736,0
4020,False,1,279679.7799875736,0
1818,False,1,279679.7799875736,0
938,False,1,279679.7799875736,0
1312,False,1,279679.7799875736,0
558,False,1,279679.7799875736,0
1736,False,1,279679.7799875736,0
1762,False,1,279679.7799875736,0
1320,False,1,279679.7799875736,0
1764,False,1,279679.7799875736,0
440,False,1,279679.7799875736,0
1564,False,1,279679.7799875736,0
220,False,1,279679.7799875736,0
3012,False,1,279679.7799875736,0
584,False,1,279679.7799875736,0
660,False,1,279679.7799875736,0
990,False,1,279679.7799875736,0
810,False,1,279679.7799875736,0
330,False,1,279679.7799875736,0
1360,False,1,279679.7799875736,0
636,False,1,279679.7799875736,0
2436,False,1,279679.7799875736,0
860,False,1,279679.7799875736,0
2966,False,1,279679.7799875736,0
2728,False,1,279679.7799875736,0
2268,False,1,279679.7799875736,0
1644,False,1,279679.7799875736,0
1576,False,1,279679.7799875736,0
1524,False,1,279679.7799875736,0
2574,False,1,279679.7799875736,0
3328,False,1,279679.7799875736,0
1036,False,1,279679.7799875736,0
1414,False,1,279679.7799875736,0
2630,False,1,279679.7799875736,0
1036,False,1,279679.7799875736,0
1876,False,1,279679.7799875736,0
1920,False,1,279679.7799875736,0
2712,False,1,279679.7799875736,0
1424,False,1,279679.7799875736,0
4300,False,1,279679.7799875736,0
4440,False,1,279679.7799875736,0
3716,False,1,279679.7799875736,0
1256,False,1,279679.7799875736,0
1884,False,1,279679.7799875736,0
4978,False,1,279679.7799875736,0
3420,False,1,279679.7799875736,0
3144,False,1,279679.7799875736,0
2956,False,1,279679.7799875736,0
4974,False,1,279679.7799875736,0
2466,False,1,279679.7799875736,0
2748,False,1,279679.7799875736,0
1750,False,1,279679.7799875736,0
3574,False,1,279679.7799875736,0
534,False,1,279679.7799875736,0
1068,False,1,279679.7799875736,0
1660,False,1,279679.7799875736,0
3716,False,1,279679.7799875736,0
1234,False,1,279679.7799875736,0
3468,False,1,279679.7799875736,0
4044,False,1,279679.7799875736,0
974,False,1,279679.7799875736,0
1196,False,1,279679.7799875736,0
1030,False,1,279679.7799875736,0
2634,False,1,279679.7799875736,0
2372,False,1,279679.7799875736,0
2324,False,1,279679.7799875736,0
6238,False,1,279679.7799875736,0
3200,False,1,279679.7799875736,0
0,False,1,279679.7799875736,0
4860,False,1,279679.7799875736,0
248,False,1,279679.7799875736,0
496,False,1,279679.7799875736,0
848,False,1,279679.7799875736,0
