value,   feasible,   frequency, time, iteration
0,False,1,524.9273414611816,0
432,False,1,524.9273414611816,0
2040,False,1,524.9273414611816,0
0,False,1,524.9273414611816,0
1240,False,1,524.9273414611816,0
0,False,1,524.9273414611816,0
2428,False,1,524.9273414611816,0
920,False,1,524.9273414611816,0
372,False,2,524.9273414611816,0
318,False,1,524.9273414611816,0
742,False,1,524.9273414611816,0
1512,False,1,524.9273414611816,0
1958,False,1,524.9273414611816,0
1958,False,1,524.9273414611816,0
424,False,1,524.9273414611816,0
2662,False,1,524.9273414611816,0
1992,False,1,524.9273414611816,0
1814,False,1,524.9273414611816,0
2684,False,1,524.9273414611816,0
1854,False,1,524.9273414611816,0
994,False,1,524.9273414611816,0
3690,False,1,524.9273414611816,0
2128,False,1,524.9273414611816,0
974,False,1,524.9273414611816,0
1388,False,1,524.9273414611816,0
2148,False,2,524.9273414611816,0
940,False,1,524.9273414611816,0
1278,False,1,524.9273414611816,0
1960,False,1,524.9273414611816,0
3942,False,1,524.9273414611816,0
496,False,1,524.9273414611816,0
796,False,1,524.9273414611816,0
0,False,1,524.9273414611816,0
1432,False,1,524.9273414611816,0
1986,False,1,524.9273414611816,0
920,False,1,524.9273414611816,0
3220,False,1,524.9273414611816,0
0,False,1,524.9273414611816,0
2866,False,1,524.9273414611816,0
1474,False,1,524.9273414611816,0
2500,False,1,524.9273414611816,0
2018,False,1,524.9273414611816,0
2940,False,1,524.9273414611816,0
1500,False,1,524.9273414611816,0
1280,False,1,524.9273414611816,0
2512,False,1,524.9273414611816,0
1364,False,1,524.9273414611816,0
3064,False,1,524.9273414611816,0
1072,False,1,524.9273414611816,0
1740,False,1,524.9273414611816,0
2972,False,1,524.9273414611816,0
318,False,2,524.9273414611816,0
1618,False,1,524.9273414611816,0
1936,False,1,524.9273414611816,0
2156,False,1,524.9273414611816,0
1154,False,1,524.9273414611816,0
2266,False,1,524.9273414611816,0
3436,False,1,524.9273414611816,0
2820,False,1,524.9273414611816,0
1774,False,1,524.9273414611816,0
2644,False,1,524.9273414611816,0
2200,False,1,524.9273414611816,0
582,False,1,524.9273414611816,0
1052,False,1,524.9273414611816,0
2090,False,1,524.9273414611816,0
690,False,1,524.9273414611816,0
2708,False,1,524.9273414611816,0
2850,False,1,524.9273414611816,0
3504,False,1,524.9273414611816,0
1020,False,1,524.9273414611816,0
2012,False,1,524.9273414611816,0
2500,False,1,524.9273414611816,0
4884,False,1,524.9273414611816,0
3396,False,1,524.9273414611816,0
2490,False,1,524.9273414611816,0
220,False,1,524.9273414611816,0
0,False,1,524.9273414611816,0
220,False,1,524.9273414611816,0
876,False,2,524.9273414611816,0
3136,False,1,524.9273414611816,0
1156,False,1,524.9273414611816,0
106,False,1,524.9273414611816,0
636,False,1,524.9273414611816,0
